"ride_id","rideable_type","started_at","ended_at","station","start_station_id","end_station_name","end_station_id","lattitude","longitude","end_lat","end_lng","member_casual","total_rides"
"52AA5E7602B45E6F","classic_bike","2022-06-08 08:01:36","2022-06-08 08:08:57","Lafayette Park","JC078","Brunswick St","JC023",40.7134638266919,-74.0628585219383,40.7241765,-74.0506564,"member",778
"D5F20CB16B9983F7","classic_bike","2022-06-08 18:11:32","2022-06-08 18:19:07","Hoboken Ave at Monmouth St","JC105","Brunswick St","JC023",40.7352083804536,-74.0469637513161,40.7241765,-74.0506564,"casual",2446
"87194ACE36C23354","classic_bike","2022-06-13 13:37:51","2022-06-13 13:40:58","Dixon Mills","JC076","Brunswick St","JC023",40.7216301426384,-74.0499678254128,40.7241765,-74.0506564,"casual",778
"C549DBF9410E1F5D","electric_bike","2022-06-27 07:51:43","2022-06-27 07:58:51","Riverview Park","JC057","Hoboken Terminal - River St & Hudson Pl","HB102",40.7443187,-74.0439909,40.7360676564825,-74.029127061367,"member",768
"D6FEBBDD5B581B84","classic_bike","2022-06-30 08:33:06","2022-06-30 08:42:14","12 St & Sinatra Dr N","HB201","Hoboken Terminal - River St & Hudson Pl","HB102",40.750604142369,-74.0240201354027,40.7360676564825,-74.029127061367,"member",2532
"A6C734921E0D2BC0","classic_bike","2022-06-25 13:00:01","2022-06-25 13:34:27","Essex Light Rail","JC038","Hoboken Terminal - River St & Hudson Pl","HB102",40.7127742,-74.0364857,40.7360676564825,-74.029127061367,"casual",734
"B323CAC4402D4B1D","electric_bike","2022-06-17 14:08:05","2022-06-17 14:31:28","Grant Ave & MLK Dr","JC107","Southwest Park - Jackson St & Observer Hwy","HB401",40.7091983224544,-74.0808427333832,40.737551272458,-74.0416637063026,"casual",73
"B3AB53E1315C5A46","classic_bike","2022-06-22 19:48:31","2022-06-22 19:58:50","Hoboken Terminal - River St & Hudson Pl","HB102","Riverview Park","JC057",40.7360676564825,-74.029127061367,40.7443187,-74.0439909,"member",3079
"F344D8EC1621AA6A","electric_bike","2022-06-02 08:41:06","2022-06-02 08:59:22","Leonard Gordon Park","JC080","City Hall","JC003",40.7459099663156,-74.0572714805603,40.7177325,-74.043845,"member",527
"AD12CC7F9564C873","classic_bike","2022-06-30 05:16:39","2022-06-30 05:30:16","McGinley Square","JC055","Washington St","JC098",40.7253399253558,-74.0676221251488,40.7242941,-74.0354826,"member",1027
"9763D407A3E95463","classic_bike","2022-06-05 01:05:50","2022-06-05 01:06:37","Hoboken Terminal - Hudson St & Hudson Pl","HB101","Hoboken Terminal - Hudson St & Hudson Pl","HB101",40.7359375844633,-74.0303045511246,40.7359375844633,-74.0303045511246,"member",3468
"5584DD76DFF02E53","electric_bike","2022-06-21 06:38:42","2022-06-21 06:50:29","Montgomery St","JC099","Hoboken Terminal - Hudson St & Hudson Pl","HB101",40.71942,-74.05099,40.7359375844633,-74.0303045511246,"member",579
"24201DE864851936","classic_bike","2022-06-28 18:22:16","2022-06-28 18:37:18","Grand St & 14 St","HB506","6 St & Grand St","HB302",40.75409,-74.0316,40.7443978330956,-74.0345008671284,"member",1365
"48EF51CA64EB6558","electric_bike","2022-06-03 16:24:07","2022-06-03 16:55:34","Manila & 1st","JC082","Grand St & 14 St","HB506",40.72165072488,-74.0428841114044,40.75409,-74.0316,"member",1240
"74293E6327934E47","classic_bike","2022-06-05 17:59:51","2022-06-05 18:13:07","Stevens - River Ter & 6 St","HB602","Madison St & 10 St","HB503",40.7431328271055,-74.0269886702299,40.7499432541225,-74.0358647704124,"member",763
"C061E89B963A45EC","classic_bike","2022-06-28 14:07:23","2022-06-28 14:15:28","Marin Light Rail","JC013","Van Vorst Park","JC035",40.7145840353589,-74.042817056179,40.71848892,-74.047726625,"member",2430
"D99BBC27A17FFF81","classic_bike","2022-06-30 17:56:48","2022-06-30 18:07:24","Van Vorst Park","JC035","Van Vorst Park","JC035",40.71848892,-74.047726625,40.71848892,-74.047726625,"member",1296
"D2D0B1A3115E155B","classic_bike","2022-06-03 14:50:03","2022-06-03 14:55:23","Madison St & 10 St","HB503","11 St & Washington St","HB502",40.7499432541225,-74.0358647704124,40.7499849090714,-74.0271502733231,"member",899
"9BA56568BFE7C26B","electric_bike","2022-06-24 05:25:09","2022-06-24 05:29:44","Baldwin at Montgomery","JC020","Dixon Mills","JC076",40.7236589,-74.0641943,40.7216301426384,-74.0499678254128,"casual",965
"7B406AC90E0962EA","electric_bike","2022-06-17 17:52:41","2022-06-17 18:03:17","Dey St","JC065","Lafayette Park","JC078",40.737711,-74.066921,40.7134638266919,-74.0628585219383,"member",275
"F209337B1018E49A","electric_bike","2022-06-08 10:53:47","2022-06-08 11:05:56","JCBS Depot","JCSYS","Grove St PATH","JC005",40.7096508336406,-74.0686011314392,40.7195861164717,-74.0431174635887,"member",1
